127.0.0.1 - - [13/Aug/2020:13:57:55 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Aug/2020:13:57:57 +0700] "GET /Intern_LoginStruts1/ HTTP/1.1" 200 2645
0:0:0:0:0:0:0:1 - - [13/Aug/2020:13:57:57 +0700] "GET /Intern_LoginStruts1/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2020:13:57:57 +0700] "GET /Intern_LoginStruts1/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2020:13:57:57 +0700] "GET /Intern_LoginStruts1/css/bootstrap-grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2020:13:57:57 +0700] "GET /Intern_LoginStruts1/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2020:13:57:58 +0700] "GET /Intern_LoginStruts1/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2020:13:57:58 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Aug/2020:13:58:11 +0700] "POST /Intern_LoginStruts1/login.do;jsessionid=82171DB8AADD59BD344E0C9BEDC7C111 HTTP/1.1" 200 14187
0:0:0:0:0:0:0:1 - - [13/Aug/2020:13:58:11 +0700] "GET /Intern_LoginStruts1/css/main_older.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2020:13:59:06 +0700] "POST /Intern_LoginStruts1/login.do;jsessionid=82171DB8AADD59BD344E0C9BEDC7C111 HTTP/1.1" 200 14187
0:0:0:0:0:0:0:1 - - [13/Aug/2020:13:59:09 +0700] "GET /Intern_LoginStruts1/login.do;jsessionid=82171DB8AADD59BD344E0C9BEDC7C111? HTTP/1.1" 200 14187
0:0:0:0:0:0:0:1 - - [13/Aug/2020:13:59:11 +0700] "GET /Intern_LoginStruts1/login.do;jsessionid=82171DB8AADD59BD344E0C9BEDC7C111? HTTP/1.1" 200 14187
